iter	MultiClass
241	0.398354592
242	0.3970746984
243	0.3960220253
244	0.3947328793
245	0.3940615788
246	0.3931964627
247	0.3923226899
248	0.391532516
249	0.3908806102
250	0.3903058459
251	0.3894454821
252	0.3886627633
253	0.3875207054
254	0.3869002023
255	0.3859840844
256	0.3853049622
257	0.3847749477
258	0.3838310305
259	0.3830679821
260	0.3824024841
261	0.3817470638
262	0.3810969326
263	0.3807734957
264	0.3802168666
265	0.3792376209
266	0.3784596093
267	0.3778826702
268	0.3773451442
269	0.3769381864
270	0.3762779897
271	0.3754531368
272	0.3745256884
273	0.374127323
274	0.373256941
275	0.3722627244
276	0.3715921169
277	0.371029106
278	0.3703994388
279	0.3693794154
280	0.3686942799
281	0.3682131436
282	0.3667092218
283	0.3662143696
284	0.3658339322
285	0.364857407
286	0.3642840224
287	0.3629477592
288	0.3621417617
289	0.361295511
290	0.3606478547
291	0.360078144
292	0.3593721556
293	0.3587857527
294	0.3577880788
295	0.3571065202
296	0.3564489294
297	0.3556184423
298	0.3547306951
299	0.3540896369
300	0.3535573854
301	0.3528035632
302	0.3520894247
303	0.3513419798
304	0.3506207258
305	0.3499481443
306	0.3492591329
307	0.3480886005
308	0.3475525774
309	0.3471463708
310	0.3466927382
311	0.3462488465
312	0.3457994362
313	0.3449647286
314	0.3445033472
315	0.3440546512
316	0.3433264404
317	0.3430750262
318	0.341946298
319	0.3411579999
320	0.340722361
321	0.3397042993
322	0.3393018495
323	0.3387009366
324	0.338225061
325	0.3376912
326	0.3371533523
327	0.3364183343
328	0.3352929293
329	0.3348880137
330	0.3337895938
331	0.3329793345
332	0.3320709522
333	0.3313050996
334	0.3307062806
335	0.3299949737
336	0.3293732102
337	0.3284137287
338	0.3277462101
339	0.3271866749
340	0.3255361709
341	0.3245825058
342	0.3238224889
343	0.323433052
344	0.3229336513
345	0.3221927435
346	0.321303718
347	0.3208399021
348	0.3200698809
349	0.3194889226
350	0.3190629955
351	0.3188717622
352	0.3182801633
353	0.3179231762
354	0.3168868164
355	0.3163752604
356	0.3158093613
357	0.3154021048
358	0.3143206046
359	0.3134506271
360	0.3129277808
361	0.3122347942
362	0.3116285739
363	0.3110110748
364	0.3102190675
365	0.3097957467
366	0.3091756413
367	0.308490838
368	0.3079303883
369	0.307110255
370	0.3061671699
371	0.3055948768
372	0.3048825142
373	0.3044545866
374	0.3036411861
375	0.3033066688
376	0.3027268475
377	0.3019418989
378	0.3012798866
379	0.3006783566
380	0.2999974258
381	0.2993367835
382	0.2989248956
383	0.298246391
384	0.2974755239
385	0.2967329769
386	0.2960559561
387	0.295359861
388	0.2947000774
389	0.2942158773
390	0.2937398845
391	0.2934508394
392	0.2928126253
393	0.2922510927
394	0.2917776045
395	0.2911024594
396	0.2907648971
397	0.2901517501
398	0.2894614451
399	0.2886661595
400	0.2883671265
401	0.2877200784
402	0.2871133458
403	0.2867479487
404	0.2861995403
405	0.2854900635
406	0.2850953615
407	0.2845398779
408	0.2839512851
409	0.2834354906
410	0.282894248
411	0.2821971484
412	0.2819500373
413	0.2813836743
414	0.2810067597
415	0.2803843664
416	0.2800275444
417	0.2796890639
418	0.2790837975
419	0.2785045115
420	0.2781880616
421	0.2779683674
422	0.2774777471
423	0.2767101862
424	0.2762567701
425	0.2755105553
426	0.2749920609
427	0.2744455488
428	0.2734095508
429	0.2728989832
430	0.2722574551
431	0.2716944363
432	0.2712149536
433	0.2708308207
434	0.2704534655
435	0.2700019891
436	0.269591538
437	0.2692247169
438	0.2688278309
439	0.268279165
440	0.2674927285
441	0.2670236971
442	0.2663771912
443	0.2661146915
444	0.2656970662
445	0.2650241142
446	0.2644351086
447	0.2638614122
448	0.2631705688
449	0.2626585912
450	0.2620256008
451	0.2612533877
452	0.2607414573
453	0.260246129
454	0.2595312488
455	0.2588429666
456	0.258319499
457	0.2577657423
458	0.2573601811
459	0.2567769874
460	0.25608966
461	0.2556062586
462	0.2551181502
463	0.2546397663
464	0.2539921832
465	0.2536666814
466	0.2532282917
467	0.2527580186
468	0.2523052591
469	0.2517554077
470	0.2511656573
471	0.250633096
472	0.2502136591
473	0.249909921
474	0.2492386338
475	0.2487222433
476	0.2482250494
477	0.2477053563
478	0.2473821297
479	0.2468987555
480	0.2465860619
481	0.2461950671
482	0.2459021814
483	0.245397203
484	0.2447151157
485	0.2442097203
486	0.2439036765
487	0.2436951288
488	0.2434366356
489	0.242821381
490	0.2424366675
491	0.2421859017
492	0.2418320826
493	0.2411342714
494	0.2409742181
495	0.2404355893
496	0.2397942907
497	0.2395076315
498	0.2390367326
499	0.2386264625
500	0.23826647
501	0.2379400505
502	0.2374120165
503	0.2369514139
504	0.2361695885
505	0.2356939973
506	0.2352896661
507	0.235021447
508	0.2346207598
509	0.234380678
510	0.233835617
511	0.2332992077
512	0.2328660372
513	0.2324199743
514	0.231935974
515	0.2316371131
516	0.2313540978
517	0.2309212488
518	0.2305901125
519	0.2300888444
520	0.2298023765
521	0.2292712483
522	0.2288296852
523	0.2285553106
524	0.2281175912
525	0.2278451404
526	0.2276338413
527	0.2273346857
528	0.2270536831
529	0.2263641633
530	0.2261353406
531	0.2256404431
532	0.2252491084
533	0.2248764108
534	0.2243512681
535	0.2240616474
536	0.2235573266
537	0.2232331473
538	0.2229955706
539	0.2227956987
540	0.2224437202
541	0.2220865716
542	0.2218487459
543	0.2214049437
544	0.2212139925
545	0.2205141033
546	0.2202459473
547	0.2199840468
548	0.2196474177
549	0.2193457359
550	0.2188281899
551	0.218331302
552	0.2179300816
553	0.217519158
554	0.2171525628
555	0.2168779578
556	0.2164264559
557	0.2161999345
558	0.2157836383
559	0.2154894454
560	0.2150107124
561	0.2147473921
562	0.2145166871
563	0.2142171314
564	0.2138213827
565	0.2132360077
566	0.2129103808
567	0.2124998787
568	0.2121932426
569	0.2117927679
570	0.2116440683
571	0.2114768706
572	0.211075855
573	0.2108692304
574	0.2106897353
575	0.2102594488
576	0.2100971563
577	0.2097492059
578	0.209312392
579	0.2090073969
580	0.2087373971
581	0.2085442017
582	0.2083407887
583	0.208198355
584	0.2077446288
585	0.2074247837
586	0.2072036825
587	0.2068918281
588	0.2064645943
589	0.20592521
590	0.2057248566
591	0.20536442
592	0.2049529584
593	0.2047901907
594	0.2044660277
595	0.2040329911
596	0.2038164987
597	0.2035407754
598	0.203306641
599	0.2029408396
600	0.2026964189
601	0.2022564595
602	0.202015024
603	0.2017500612
604	0.2013572225
605	0.2009983251
606	0.2005175622
607	0.2003410946
608	0.1999527771
609	0.1994888079
610	0.1990799088
611	0.198745551
612	0.1983079842
613	0.198052853
614	0.1978852373
615	0.1976613421
616	0.1974856265
617	0.1973051785
618	0.197149581
619	0.1968804117
620	0.1964993558
621	0.1961379181
622	0.1958130733
623	0.1955198976
624	0.1952134627
625	0.1949538251
626	0.1947980429
627	0.1945698376
628	0.1941819308
629	0.1939190503
630	0.1935739664
631	0.193275642
632	0.1928709206
633	0.1926013595
634	0.1922868766
635	0.1917455797
636	0.1914325107
637	0.1911889569
638	0.1908765616
639	0.1906071802
640	0.1903528131
641	0.1900405609
642	0.1896703825
643	0.1894713641
644	0.1893166452
645	0.1891125292
646	0.1887547669
647	0.1885825412
648	0.1881596901
649	0.1877270739
650	0.1875304099
651	0.1873713498
652	0.1871787382
653	0.1867843611
654	0.1865626894
655	0.1862142946
656	0.1858965171
657	0.1855662481
658	0.1851583883
659	0.1847537855
660	0.1845130067
661	0.1842097844
662	0.1837760707
663	0.1835758221
664	0.1835015052
665	0.1832662236
666	0.1830541055
667	0.1827604788
668	0.1824263988
669	0.1820957674
670	0.1818203843
671	0.1815203016
672	0.1811060414
673	0.1808695352
674	0.1805411166
675	0.1802947988
676	0.1801042049
677	0.1798541658
678	0.1796287816
679	0.179541127
680	0.1792079949
681	0.1790042315
682	0.1785887538
683	0.1784324324
684	0.1780057067
685	0.1776361763
686	0.1774620198
687	0.1772104746
688	0.1769120617
689	0.176490009
690	0.1762366684
691	0.1758894929
692	0.1756932018
693	0.1753769116
694	0.1750786144
695	0.1747800574
696	0.1744881559
697	0.1740607994
698	0.1737546987
699	0.173536072
700	0.173271993
701	0.1730685554
702	0.1728431492
703	0.1725110899
704	0.1723368523
705	0.1719725519
706	0.1718015821
707	0.1715195053
708	0.1711695994
709	0.1708558839
710	0.1705792703
711	0.1703038934
712	0.1699670309
713	0.1696135616
714	0.1692444121
715	0.1690262514
716	0.1687481537
717	0.1684062643
718	0.1681853507
719	0.1678900345
720	0.1674687712
721	0.1673257067
722	0.1671955626
723	0.1669949517
724	0.1666320283
725	0.1664788632
726	0.1663098429
727	0.1660150082
728	0.1657540676
729	0.1656194712
730	0.1654977367
731	0.1652759401
732	0.1649572242
733	0.164835471
734	0.1645769765
735	0.164307127
736	0.164055215
737	0.1636344669
738	0.1633084413
739	0.162988577
740	0.1627076506
741	0.1625631895
742	0.1624465251
743	0.1622164613
744	0.1620240975
745	0.16189489
746	0.1617366502
747	0.1613241848
748	0.1611559641
749	0.1609227251
750	0.1608254447
751	0.1604798151
752	0.1601325187
753	0.1599073701
754	0.1597241045
755	0.15937446
756	0.1591321833
757	0.1588085913
758	0.1587059754
759	0.1585110716
760	0.1583464582
761	0.1581974808
762	0.1580801707
763	0.1579330941
764	0.1576779217
765	0.1573041066
766	0.1571047757
767	0.1567854976
768	0.1565991928
769	0.1563790736
770	0.1561319135
771	0.1559421903
772	0.1557316083
773	0.1555498432
774	0.155303646
775	0.1550027451
776	0.1548489759
777	0.1545616045
778	0.1544393164
779	0.1541635756
780	0.1539586983
781	0.1538171331
782	0.1536077306
783	0.1534904313
784	0.1532476667
785	0.1530156134
786	0.1527792999
787	0.1526407978
788	0.1524575071
789	0.152249702
790	0.1520532897
791	0.1519017866
792	0.1517883454
793	0.1514524254
794	0.1512387651
795	0.1511151648
796	0.1509537467
797	0.1508038859
798	0.1506012509
799	0.150398585
800	0.1501177765
801	0.1498705466
802	0.1496844102
803	0.1493275004
804	0.1491505077
805	0.1488562398
806	0.1484803649
807	0.1482622438
808	0.1481099619
809	0.1479564674
810	0.1477774898
811	0.1476731047
812	0.1474931626
813	0.1473401884
814	0.1471849607
815	0.1469628099
816	0.1469027501
817	0.1467825149
818	0.1466517685
819	0.146363463
820	0.1462571358
821	0.1460843318
822	0.1460382819
823	0.1458129144
824	0.145687203
825	0.1454615762
826	0.1453707408
827	0.1451204514
828	0.1449708856
829	0.1448767035
830	0.1446961454
831	0.1445182902
832	0.1442603337
833	0.1440503833
834	0.1438579743
835	0.1437134871
836	0.1434959997
837	0.1433449642
838	0.143151082
839	0.1429438824
840	0.1427367332
841	0.1425963393
842	0.1423925277
843	0.1421492145
844	0.1420147396
845	0.1418814322
846	0.1416199137
847	0.1414488985
848	0.1413092653
849	0.141163321
850	0.1410192085
851	0.1407530611
852	0.1405050968
853	0.14026634
854	0.1400795269
855	0.1399462288
856	0.1395861216
857	0.1393752196
858	0.1391977163
859	0.1390451986
860	0.1389087166
861	0.1388524155
862	0.1386487193
863	0.1384722571
864	0.1382008964
865	0.1380008586
866	0.1379088859
867	0.1378105074
868	0.137643266
869	0.1374150706
870	0.137340235
871	0.1371759318
872	0.1370245091
873	0.1369011205
874	0.1366836597
875	0.1365263311
876	0.1363174638
877	0.1361209734
878	0.135846451
879	0.1356422506
880	0.1355132521
881	0.1353641569
882	0.1353328062
883	0.1351525474
884	0.1349668973
885	0.1347739875
886	0.134667551
887	0.1345276182
888	0.134391059
889	0.1342266493
890	0.1340626773
891	0.1338358652
892	0.1336652903
893	0.1334499732
894	0.1333353402
895	0.1332676983
896	0.1332014637
897	0.1330031569
898	0.1327272245
899	0.1325497597
900	0.1324527258
901	0.1322817663
902	0.1321807528
903	0.1319932464
904	0.1317568252
905	0.131559011
906	0.1314357475
907	0.1312418709
908	0.1310634446
909	0.1309636179
910	0.1306390599
911	0.1305540273
912	0.1304429028
913	0.1301284483
914	0.129990134
915	0.1297651057
916	0.1296392264
917	0.1295445425
918	0.1293398923
919	0.1292397125
920	0.1290410356
921	0.1288640797
922	0.1286809581
923	0.1284400479
924	0.1283030692
925	0.1282522971
926	0.1281678523
927	0.1279952424
928	0.127769626
929	0.1276353728
930	0.1274326616
931	0.1272660378
932	0.1270765982
933	0.1269263882
934	0.1266743619
935	0.1264988099
936	0.1263651344
937	0.1261425221
938	0.1260612455
939	0.1259487059
940	0.1257957114
941	0.1256513542
942	0.1255064091
943	0.125308031
944	0.1251509958
945	0.1250543237
946	0.124945331
947	0.1247226216
948	0.1245961454
949	0.1244860424
950	0.1242916084
951	0.1241399393
952	0.1240006001
953	0.123844731
954	0.1236889798
955	0.1235268031
956	0.1233816323
957	0.1232774757
958	0.1231726079
959	0.1229392588
960	0.122795992
961	0.1226917378
962	0.1224548947
963	0.1222956113
964	0.1222110743
965	0.1220254108
966	0.1219195624
967	0.121624453
968	0.1214642719
969	0.1213869639
970	0.1212538447
971	0.1211320762
972	0.1209913568
973	0.120894152
974	0.1206446875
975	0.1204752539
976	0.1203183157
977	0.1201729663
978	0.1200344815
979	0.1198712688
980	0.1197466615
981	0.1195933986
982	0.1195268004
983	0.1193743992
984	0.1191675494
985	0.1190425253
986	0.1188841504
987	0.1186796819
988	0.1186121546
989	0.1184641094
990	0.1183701576
991	0.1182560529
992	0.1181071391
993	0.1179926886
994	0.1177956045
995	0.1175584126
996	0.1174172309
997	0.1172677442
998	0.1171285011
999	0.1170273788
